ANTELACION_DIAS,HOTEL_SIZE,ADR,NOCHES,NENES,BEBES,STATUS_BOOL,SEGMENTO_COD,PAIS_AGRUPADO_COD,HABITACION_LIMPIA_COD,GRUPO_TIPO_COD,FUENTE_NEGOCIO_DIRECT SALES,FUENTE_NEGOCIO_E-COMMERCE,FUENTE_NEGOCIO_OTHERS,FUENTE_NEGOCIO_T.O. / T.A.,PAX_TIPO_PAREJAS,PAX_TIPO_SINGLE,TEMPORADA_BAJA,TEMPORADA_MEDIA,DISTANCIA_LARGO,DISTANCIA_MEDIO,DISTANCIA_NO INFO
152,GRANDE,135.4,3,0,0,0,0.4785470697023485,0.3177865364253255,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
86,GRANDE,109.36,11,0,0,0,0.375496596876965,0.4426721252232782,0.3975930893786635,0,False,False,False,True,True,False,False,True,True,False,False
63,GRANDE,109.36,4,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
37,GRANDE,94.0,11,0,0,0,0.375496596876965,0.2471437315444891,0.3464035816116707,0,False,False,False,True,True,False,False,False,False,True,False
52,GRANDE,412.45,5,0,0,0,0.2140428994091968,0.4488558862852849,0.3975930893786635,1,True,False,False,False,False,True,True,False,False,True,False
51,GRANDE,506.54,5,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
207,GRANDE,417.5,6,0,0,0,0.3823853976768591,0.4235103291852269,0.3973135510480495,0,False,True,False,False,True,False,True,False,False,False,False
0,GRANDE,205.7188118811881,4,0,0,0,0.375496596876965,0.4405564544781278,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,True,False
56,GRANDE,109.36,4,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,False,False
70,GRANDE,1094.4,7,0,0,0,0.375496596876965,0.4488558862852849,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
171,GRANDE,696.018947368421,4,0,0,0,0.3049146162748641,0.3177865364253255,0.3975930893786635,1,True,False,False,False,False,False,False,False,False,False,False
165,GRANDE,114.0,4,0,0,0,0.3049146162748641,0.4235103291852269,0.3975930893786635,1,False,False,False,True,True,False,False,False,False,False,False
57,GRANDE,424.8,4,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,True
64,GRANDE,294.37789473684205,4,0,0,0,0.3823853976768591,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
391,GRANDE,196.8,7,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,False
277,GRANDE,225.94,7,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,False
164,GRANDE,148.0,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
85,GRANDE,366.86000000000007,3,0,0,0,0.375496596876965,0.3082210965283459,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,True,False
115,GRANDE,264.69,14,1,0,0,0.375496596876965,0.4426721252232782,0.3975930893786635,0,True,False,False,False,False,False,True,False,False,False,True
5,GRANDE,569.62,7,0,0,0,0.375496596876965,0.3082210965283459,0.3975930893786635,0,True,False,False,False,False,False,False,False,False,True,False
394,GRANDE,216.33,21,0,0,1,0.375496596876965,0.4235103291852269,0.3464035816116707,0,True,False,False,False,True,False,False,False,False,False,False
15,GRANDE,393.77,3,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,False,False,False,False,False,False,False
231,GRANDE,525.8,9,0,0,1,0.375496596876965,0.4235103291852269,0.5024373692280311,0,True,False,False,False,True,False,False,True,False,False,False
6,GRANDE,873.64,1,0,0,1,0.375496596876965,0.4235103291852269,0.5024373692280311,0,True,False,False,False,True,False,False,True,False,False,False
299,GRANDE,312.86,3,0,0,0,0.375496596876965,0.3177865364253255,0.3459754209670617,0,True,False,False,False,True,False,True,False,False,False,False
58,GRANDE,281.16,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,False
10,GRANDE,282.74,7,0,0,0,0.375496596876965,0.4426721252232782,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,True,False
202,GRANDE,451.5,7,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,False,False,False,True,False,False,False
112,GRANDE,402.5,5,0,0,1,0.375496596876965,0.4235103291852269,0.3459754209670617,0,True,False,False,False,True,False,True,False,False,False,False
86,GRANDE,114.0,7,0,0,0,0.375496596876965,0.4426721252232782,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,True
22,GRANDE,266.38,8,0,0,0,0.375496596876965,0.4488558862852849,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,True,False
48,GRANDE,392.12,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,False,False
252,GRANDE,1756.8,7,0,0,1,0.375496596876965,0.4235103291852269,0.3459754209670617,0,True,False,False,False,False,False,False,True,False,False,False
67,GRANDE,115.4,7,0,0,0,0.375496596876965,0.4426721252232782,0.3975930893786635,0,True,False,False,False,True,False,False,False,True,False,False
100,GRANDE,227.16000000000005,14,0,0,0,0.375496596876965,0.4426721252232782,0.3464035816116707,0,True,False,False,False,True,False,False,False,False,True,False
103,GRANDE,299.98,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
127,GRANDE,357.01,1,2,0,1,0.375496596876965,0.3177865364253255,0.3975930893786635,0,True,False,False,False,False,False,False,False,False,False,False
127,GRANDE,370.68,1,2,0,1,0.375496596876965,0.3177865364253255,0.3975930893786635,0,True,False,False,False,False,False,False,False,False,False,False
342,GRANDE,300.5,7,0,0,1,0.375496596876965,0.4235103291852269,0.359469705872788,0,True,False,False,False,True,False,False,True,False,False,False
342,GRANDE,300.5,7,0,0,1,0.375496596876965,0.4235103291852269,0.359469705872788,0,True,False,False,False,True,False,False,True,False,False,False
135,GRANDE,264.0,7,2,0,0,0.375496596876965,0.4426721252232782,0.3536763452541139,0,True,False,False,False,False,False,True,False,False,True,False
